,Ticker,E50.PA,E50.PA.1,E50.PA.2,E50.PA.3,E50.PA.4,E50.PA.5,ANX.PA,ANX.PA.1,ANX.PA.2,ANX.PA.3,ANX.PA.4,ES5.PA,ES5.PA.1,ES5.PA.2,ES5.PA.3,ES5.PA.4,ES5.PA.5
348,2021-05-11,Open,High,Low,Close,Adj Close,Volume,121.94000244140625,122.0999984741211,119.73999786376953,122.0999984741211,314006,Open,High,Low,Close,Adj Close,Volume
349,2021-05-12,Open,High,Low,Close,Adj Close,Volume,122.36000061035156,122.5199966430664,120.66000366210938,120.66000366210938,2463,Open,High,Low,Close,Adj Close,Volume
350,2021-05-13,Open,High,Low,Close,Adj Close,Volume,120.08000183105469,121.76000213623047,119.37999725341797,121.30000305175781,2680,Open,High,Low,Close,Adj Close,Volume
351,2021-05-14,Open,High,Low,Close,Adj Close,Volume,121.72000122070312,122.73999786376953,121.5199966430664,122.73999786376953,5185,Open,High,Low,Close,Adj Close,Volume
352,2021-05-17,Open,High,Low,Close,Adj Close,Volume,122.94000244140625,122.94000244140625,121.91999816894531,121.91999816894531,3220,Open,High,Low,Close,Adj Close,Volume
353,2021-05-18,Open,High,Low,Close,Adj Close,Volume,122.86000061035156,122.86000061035156,121.9800033569336,122.0,3260,Open,High,Low,Close,Adj Close,Volume
354,2021-05-19,Open,High,Low,Close,Adj Close,Volume,119.68000030517578,119.80000305175781,118.54000091552734,119.80000305175781,9805,Open,High,Low,Close,Adj Close,Volume
355,2021-05-20,Open,High,Low,Close,Adj Close,Volume,120.9800033569336,123.12000274658203,120.58000183105469,123.12000274658203,2913,Open,High,Low,Close,Adj Close,Volume
356,2021-05-21,Open,High,Low,Close,Adj Close,Volume,123.27999877929688,124.0999984741211,123.22000122070312,123.30000305175781,793,Open,High,Low,Close,Adj Close,Volume
357,2021-05-24,Open,High,Low,Close,Adj Close,Volume,123.0,124.76000213623047,123.0,124.76000213623047,2204,Open,High,Low,Close,Adj Close,Volume
358,2021-05-25,Open,High,Low,Close,Adj Close,Volume,124.9800033569336,125.0,124.13999938964844,124.13999938964844,808,Open,High,Low,Close,Adj Close,Volume
359,2021-05-26,Open,High,Low,Close,Adj Close,Volume,125.0,125.19999694824219,124.81999969482422,125.0999984741211,1764,Open,High,Low,Close,Adj Close,Volume
360,2021-05-27,Open,High,Low,Close,Adj Close,Volume,124.9800033569336,125.41999816894531,124.73999786376953,125.37999725341797,686,Open,High,Low,Close,Adj Close,Volume
361,2021-05-28,Open,High,Low,Close,Adj Close,Volume,125.30000305175781,125.91999816894531,125.30000305175781,125.68000030517578,712,Open,High,Low,Close,Adj Close,Volume
362,2021-05-31,Open,High,Low,Close,Adj Close,Volume,125.41999816894531,125.45999908447266,124.80000305175781,124.80000305175781,983,Open,High,Low,Close,Adj Close,Volume
363,2021-06-01,Open,High,Low,Close,Adj Close,Volume,125.05999755859375,125.5,124.13999938964844,124.44000244140625,648,Open,High,Low,Close,Adj Close,Volume
364,2021-06-02,Open,High,Low,Close,Adj Close,Volume,124.76000213623047,125.41999816894531,124.76000213623047,125.12000274658203,1517,Open,High,Low,Close,Adj Close,Volume
365,2021-06-03,Open,High,Low,Close,Adj Close,Volume,125.0999984741211,125.0999984741211,124.12000274658203,124.76000213623047,4573,Open,High,Low,Close,Adj Close,Volume
366,2021-06-04,Open,High,Low,Close,Adj Close,Volume,124.66000366210938,126.30000305175781,124.55999755859375,126.16000366210938,2950,Open,High,Low,Close,Adj Close,Volume
367,2021-06-07,Open,High,Low,Close,Adj Close,Volume,126.30000305175781,126.30000305175781,125.63999938964844,125.63999938964844,939,Open,High,Low,Close,Adj Close,Volume
368,2021-06-08,Open,High,Low,Close,Adj Close,Volume,126.5,127.26000213623047,126.19999694824219,126.19999694824219,2426,Open,High,Low,Close,Adj Close,Volume
369,2021-06-09,Open,High,Low,Close,Adj Close,Volume,126.5999984741211,126.87999725341797,126.55999755859375,126.81999969482422,721,Open,High,Low,Close,Adj Close,Volume
370,2021-06-10,Open,High,Low,Close,Adj Close,Volume,126.5999984741211,127.62000274658203,126.30000305175781,127.62000274658203,468,Open,High,Low,Close,Adj Close,Volume
371,2021-06-11,Open,High,Low,Close,Adj Close,Volume,127.9000015258789,128.8800048828125,127.87999725341797,128.8800048828125,1726,Open,High,Low,Close,Adj Close,Volume
372,2021-06-14,Open,High,Low,Close,Adj Close,Volume,129.32000732421875,129.36000061035156,128.89999389648438,129.1999969482422,6545,Open,High,Low,Close,Adj Close,Volume
373,2021-06-15,Open,High,Low,Close,Adj Close,Volume,130.1199951171875,130.39999389648438,129.36000061035156,129.36000061035156,2290,Open,High,Low,Close,Adj Close,Volume
374,2021-06-16,Open,High,Low,Close,Adj Close,Volume,129.36000061035156,129.72000122070312,129.16000366210938,129.4199981689453,905,Open,High,Low,Close,Adj Close,Volume
375,2021-06-17,Open,High,Low,Close,Adj Close,Volume,130.4199981689453,132.89999389648438,129.8000030517578,132.89999389648438,2849,Open,High,Low,Close,Adj Close,Volume
376,2021-06-18,Open,High,Low,Close,Adj Close,Volume,133.1999969482422,133.27999877929688,132.16000366210938,132.16000366210938,1449,Open,High,Low,Close,Adj Close,Volume
377,2021-06-21,Open,High,Low,Close,Adj Close,Volume,132.1999969482422,132.67999267578125,131.5,132.25999450683594,2259,Open,High,Low,Close,Adj Close,Volume
378,2021-06-22,Open,High,Low,Close,Adj Close,Volume,132.52000427246094,133.32000732421875,132.3000030517578,133.32000732421875,1148,Open,High,Low,Close,Adj Close,Volume
379,2021-06-23,Open,High,Low,Close,Adj Close,Volume,133.89999389648438,133.89999389648438,133.27999877929688,133.36000061035156,565,Open,High,Low,Close,Adj Close,Volume
380,2021-06-24,Open,High,Low,Close,Adj Close,Volume,133.8000030517578,134.83999633789062,133.8000030517578,134.77999877929688,1014,Open,High,Low,Close,Adj Close,Volume
381,2021-06-25,Open,High,Low,Close,Adj Close,Volume,134.1999969482422,134.47999572753906,133.67999267578125,134.32000732421875,301,Open,High,Low,Close,Adj Close,Volume
382,2021-06-28,Open,High,Low,Close,Adj Close,Volume,134.27999877929688,135.55999755859375,134.27999877929688,135.55999755859375,854,Open,High,Low,Close,Adj Close,Volume
383,2021-06-29,Open,High,Low,Close,Adj Close,Volume,135.8000030517578,136.44000244140625,135.77999877929688,136.16000366210938,2777,Open,High,Low,Close,Adj Close,Volume
384,2021-06-30,Open,High,Low,Close,Adj Close,Volume,136.9600067138672,137.36000061035156,136.6199951171875,137.0800018310547,894,Open,High,Low,Close,Adj Close,Volume
385,2021-07-01,Open,High,Low,Close,Adj Close,Volume,137.22000122070312,137.63999938964844,136.60000610351562,136.63999938964844,4494,Open,High,Low,Close,Adj Close,Volume
386,2021-07-02,Open,High,Low,Close,Adj Close,Volume,137.27999877929688,138.1999969482422,137.27999877929688,138.0800018310547,762,Open,High,Low,Close,Adj Close,Volume
